kode_produk,nama_produk,harga,stok,kategori,last_updated
PROD-1534,kaos polos combed,15000,0,pakaian,Apr 02
PROD-0498,baju bayi,0,96,pakaian,Jun 30
PROD-0457,kemeja flanel keren,0,0,kosong,pakian
PROD-0183,kaos polos combed,0,12,pakaian,2025-05-18 12:00:00
PROD-0416,charger type-c fast,0,0,27,ELEKTRONIK
PROD-1260,novel fiksi terjemahan,0,32,buku,2025-05-18 12:00:00
PROD-0142,novel fiksi terjemahan,45,0,buku,2025-09-14 00:00:00
PROD-0101,baju anak perempuan,48000,0,pakaian,2025-11-13 00:00:00
PROD-1576,charger type-c fast,0,0,null,elektronik
PROD-1535,baju anak laki-laki,0,0,pakaian,2025-05-18 12:00:00
PROD-0499,komik jepang lama,48000,95,buku,Jan 24
PROD-0458,baju bayi,0,0,pakaian,2025-09-09 8:00:00
PROD-0184,laptop gaming i7,128000,0,elektronik,Feb 13
PROD-0417,kamus bahasa inggris,0,0,buku,2025-03-28 00:00:00
PROD-1261,buku pemrograman python,48000,0,buku,2025-09-26 00:00:00
PROD-0143,mouse wireless,15000,99,elektronik,Jan 30
PROD-1220,kaos polos combed,0,12,pakaian,2025-06-14 00:00:00
PROD-0102,kaos polos combed,0,55,pakaian,2025-09-27 00:00:00
PROD-1577,hp android murah,15000,0,elektronik,Oct 14
PROD-1536,komik jepang lama,120000,0,buku,2025-01-30 5:00:00
PROD-0459,buku pemrograman python,16000,0,buku,2025-05-18 12:00:00
PROD-0185,laptop gaming i7,0,0,null,elektronik
PROD-0418,buku mewarnai anak,15000,61,buku,2026-01-08 20:00:00
PROD-1262,kamus bahasa inggris,45,19,buku,2025-04-03 00:00:00
PROD-0144,buku mewarnai anak,0,3,buku,2025-08-18 00:00:00
PROD-1221,kamus bahasa inggris,0,0,buku,Jun 30
PROD-0103,baju anak perempuan,45000,0,pakaian,Sep 10
PROD-1578,kemeja flanel keren,0,0,pakaian,2025-07-01 17:00:00
PROD-1537,baju anak perempuan,45000,0,pakaian,2025-11-10 00:00:00
PROD-0186,buku pemrograman python,0,0,buku,Jul 27
PROD-0419,baju anak laki-laki,45000,0,pakaian,2025-08-07 10:00:00
PROD-1263,charger type-c fast,45000,0,elektronik,2025-04-22 16:00:00
PROD-0145,buku mewarnai anak,15000,0,buku,2026-01-02 00:00:00
PROD-1222,baju bayi,45000,20,pakaian,2025-04-11 23:00:00
PROD-0104,kamus bahasa inggris,128000,12,buku,2025-09-11 7:00:00
PROD-1579,komik jepang lama,16000,0,buku,Mar 13
PROD-1538,buku pemrograman python,15000,0,buku,2025-02-27 23:00:00
PROD-0187,novel fiksi terjemahan,15000,0,buku,2025-05-18 12:00:00
PROD-1264,laptop gaming i7,0,0,null,elektronik
PROD-0146,buku mewarnai anak,45,41,buku,2025-05-18 12:00:00
PROD-1223,komik jepang lama,16000,0,buku,2026-03-12 9:00:00
PROD-0105,kamus bahasa inggris,0,0,buku,2026-01-07 5:00:00
PROD-1539,buku pemrograman python,45000,0,buku,2025-11-06 00:00:00
PROD-0188,baju anak laki-laki,45000,49,pakaian,2025-05-18 12:00:00
PROD-1265,mouse wireless,0,0,null,elektronik
PROD-0147,baju anak perempuan,0,0,pakaian,2025-05-18 12:00:00
PROD-1224,mouse wireless,15,0,elektronik,Mar 24
PROD-0106,baju anak perempuan,0,0,22,pakian
PROD-0189,novel fiksi terjemahan,0,0,buku,2025-04-05 00:00:00
PROD-1266,laptop gaming i7,0,0,-5,ELEKTRONIK
PROD-0148,powerbank 10000mah,45000,0,elektronik,2025-11-01 17:00:00
PROD-1225,mouse wireless,45,12,elektronik,Mar 04
PROD-0107,laptop gaming i7,0,0,elektronik,Mar 02
PROD-1267,buku pemrograman python,15,43,buku,2025-05-18 12:00:00
PROD-0149,kamus bahasa inggris,120000,0,buku,2025-05-18 12:00:00
PROD-1226,novel fiksi terjemahan,0,0,buku,2025-05-18 12:00:00
PROD-0108,baju anak perempuan,120000,0,pakaian,2025-12-13 00:00:00
PROD-1268,buku pemrograman python,0,0,buku,2025-05-06 00:00:00
PROD-1227,baju anak laki-laki,15000,0,pakaian,2025-02-05 00:00:00
PROD-0109,buku pemrograman python,0,0,buku,2025-05-18 12:00:00
PROD-1269,kamus bahasa inggris,15,0,buku,2025-08-10 00:00:00
PROD-1228,buku mewarnai anak,0,0,27,buku
PROD-1229,laptop gaming i7,0,0,elektronik,2025-08-03 20:00:00
PROD-0880,buku pemrograman python,0,12,buku,2025-09-22 11:00:00
PROD-0881,baju bayi,45,0,pakaian,2025-02-04 12:00:00
PROD-0840,kaos polos combed,45,0,pakaian,2025-05-18 12:00:00
PROD-0882,buku pemrograman python,45000,0,buku,2025-10-22 22:00:00
PROD-0841,komik jepang lama,120,21,buku,Dec 25
PROD-0800,kamus bahasa inggris,45000,0,buku,Aug 05
PROD-0883,kemeja flanel keren,45,12,pakaian,2025-09-12 9:00:00
PROD-0842,kamus bahasa inggris,0,0,buku,2025-09-26 17:00:00
PROD-0801,hp android murah,0,0,elektronik,Apr 10
PROD-0884,kaos polos combed,45000,0,pakaian,2025-05-18 12:00:00
PROD-0843,baju bayi,16000,0,pakaian,2025-10-08 13:00:00
PROD-0802,charger type-c fast,0,0,12,elektronik murah
PROD-0885,kemeja flanel keren,128000,0,pakaian,2025-05-18 12:00:00
PROD-0844,baju anak laki-laki,0,0,pakaian,2026-01-25 00:00:00
PROD-0570,baju anak perempuan,16000,0,pakaian,2026-01-30 00:00:00
PROD-0803,buku mewarnai anak,128000,0,buku,2025-05-18 12:00:00
PROD-0886,baju anak perempuan,0,12,pakaian,2025-05-18 12:00:00
PROD-0845,novel fiksi terjemahan,48000,0,buku,2025-05-18 12:00:00
PROD-0571,buku mewarnai anak,0,61,buku,2026-03-08 00:00:00
PROD-0804,novel fiksi terjemahan,0,12,buku,2025-05-18 12:00:00
PROD-0530,baju bayi,48000,0,pakaian,2025-05-18 12:00:00
PROD-1690,buku mewarnai anak,45000,0,buku,2025-06-09 00:00:00
PROD-0887,komik jepang lama,0,0,buku,2025-05-18 12:00:00
PROD-0846,kamus bahasa inggris,0,0,12,BUKU
PROD-0572,novel fiksi terjemahan,128000,0,buku,2025-05-18 12:00:00
PROD-0805,charger type-c fast,0,0,12,elektronik murah
PROD-0531,baju anak laki-laki,0,0,pakaian,2025-07-25 00:00:00
PROD-1691,buku mewarnai anak,16000,0,buku,Feb 06
PROD-1650,powerbank 10000mah,45,0,elektronik,2025-05-18 12:00:00
PROD-0888,baju bayi,0,0,pakaian,Jul 14
PROD-0847,buku mewarnai anak,45000,0,buku,2025-12-29 10:00:00
PROD-0573,kaos polos combed,45000,0,pakaian,2025-05-18 12:00:00
PROD-0806,baju anak laki-laki,120000,12,pakaian,2026-01-22 00:00:00
PROD-0532,charger type-c fast,0,0,6,ELEKTRONIK
PROD-1692,laptop gaming i7,120000,0,elektronik,May 10
PROD-1651,powerbank 10000mah,0,0,elektronik,Oct 31
PROD-1610,kaos polos combed,0,0,pakaian,2025-05-18 12:00:00
PROD-0889,laptop gaming i7,0,0,elektronik,Feb 26
PROD-0848,mouse wireless,0,12,elektronik,2025-05-18 12:00:00
PROD-0574,komik jepang lama,45,12,buku,2025-04-25 00:00:00
PROD-0807,kemeja flanel keren,15000,12,pakaian,Dec 02
PROD-0533,powerbank 10000mah,0,0,elektronik,2025-06-07 21:00:00
PROD-1693,mouse wireless,48000,0,elektronik,2025-05-18 12:00:00
PROD-1652,novel fiksi terjemahan,45000,0,buku,2025-12-22 21:00:00
PROD-1611,novel fiksi terjemahan,120,12,buku,2025-09-04 00:00:00
PROD-0849,baju bayi,0,73,pakaian,Jan 31
PROD-0575,kemeja flanel keren,45,12,pakaian,Jan 15
PROD-0808,kamus bahasa inggris,16000,12,buku,2025-10-27 22:00:00
PROD-0534,laptop gaming i7,0,12,elektronik,2025-05-18 12:00:00
PROD-0260,charger type-c fast,0,66,elektronik,2025-04-21 00:00:00
PROD-1694,hp android murah,48000,0,elektronik,2025-09-30 00:00:00
PROD-1653,kamus bahasa inggris,0,0,buku,2025-07-16 00:00:00
PROD-1612,kamus bahasa inggris,120000,0,buku,2025-05-18 12:00:00
PROD-0576,buku pemrograman python,0,0,buku,2026-02-22 14:00:00
PROD-0809,kamus bahasa inggris,120,0,buku,Aug 19
PROD-0535,kaos polos combed,0,0,pakaian,2025-05-18 12:00:00
PROD-0261,kamus bahasa inggris,48000,0,buku,2025-05-18 12:00:00
PROD-0220,kaos polos combed,16000,0,pakaian,2025-05-18 12:00:00
PROD-1695,buku pemrograman python,0,0,buku,2025-05-21 00:00:00
PROD-1654,buku mewarnai anak,120000,87,buku,2025-05-18 00:00:00
PROD-1613,baju anak laki-laki,45000,35,pakaian,2025-02-03 12:00:00
PROD-0577,buku pemrograman python,45,0,buku,2025-05-18 12:00:00
PROD-0536,kemeja flanel keren,45000,81,pakaian,2025-11-28 00:00:00
PROD-1380,laptop gaming i7,45000,0,elektronik,2025-05-13 00:00:00
PROD-0262,charger type-c fast,0,0,elektronik,2025-05-18 12:00:00
PROD-0221,powerbank 10000mah,0,0,elektronik,2025-06-01 11:00:00
PROD-1696,kamus bahasa inggris,120000,0,buku,2025-06-15 00:00:00
PROD-1655,kemeja flanel keren,0,12,pakaian,2025-10-20 00:00:00
PROD-1614,novel fiksi terjemahan,0,12,buku,2025-05-18 12:00:00
PROD-0578,novel fiksi terjemahan,45000,0,buku,Dec 10
PROD-0537,kamus bahasa inggris,0,0,buku,Mar 04
PROD-1381,mouse wireless,45,51,elektronik,Feb 14
PROD-0263,kamus bahasa inggris,48000,0,buku,2025-05-18 12:00:00
PROD-1340,novel fiksi terjemahan,120,7,buku,2025-05-18 12:00:00
PROD-0222,novel fiksi terjemahan,0,0,buku,2025-01-22 21:00:00
PROD-1697,powerbank 10000mah,45000,0,elektronik,2025-05-18 12:00:00
PROD-1656,baju anak perempuan,45000,0,pakaian,2025-01-15 00:00:00
PROD-1615,baju anak laki-laki,0,0,kosong,pakian
PROD-0579,komik jepang lama,0,0,-5,buku
PROD-0538,komik jepang lama,120000,0,buku,2025-04-21 00:00:00
PROD-1382,baju anak perempuan,120000,0,pakaian,2026-03-24 00:00:00
PROD-0264,hp android murah,128000,0,elektronik,2025-05-18 12:00:00
PROD-1341,hp android murah,15000,8,elektronik,Mar 28
PROD-0223,kaos polos combed,0,0,kosong,pakaian
PROD-1300,laptop gaming i7,120000,0,elektronik,Sep 14
PROD-1698,kemeja flanel keren,0,0,pakaian,2025-06-12 00:00:00
PROD-1657,kemeja flanel keren,0,0,pakaian,2025-01-10 00:00:00
PROD-1616,buku mewarnai anak,0,0,12,BUKU
PROD-0539,charger type-c fast,0,12,elektronik,Oct 27
PROD-1383,kaos polos combed,0,0,pakaian,2025-05-18 12:00:00
PROD-0265,laptop gaming i7,0,0,12,ELEKTRONIK
PROD-1342,hp android murah,120000,0,elektronik,2025-05-18 12:00:00
PROD-0224,baju bayi,45,23,pakaian,2025-05-18 12:00:00
PROD-1301,novel fiksi terjemahan,0,0,buku,2025-06-08 00:00:00
PROD-1699,novel fiksi terjemahan,0,0,58,BUKU
PROD-1658,baju bayi,15000,12,pakaian,2025-08-14 00:00:00
PROD-1617,buku mewarnai anak,0,0,buku,2026-02-12 00:00:00
PROD-1384,charger type-c fast,45,0,elektronik,2026-03-09 0:00:00
PROD-0266,kamus bahasa inggris,15000,0,buku,2025-05-18 12:00:00
PROD-1343,laptop gaming i7,128000,0,elektronik,2025-01-21 23:00:00
PROD-0225,kamus bahasa inggris,128000,0,buku,2025-02-17 00:00:00
PROD-1302,hp android murah,0,0,elektronik,2026-03-08 15:00:00
PROD-1659,laptop gaming i7,0,0,null,elektronik murah
PROD-1618,charger type-c fast,45000,0,elektronik,2025-02-03 3:00:00
PROD-1385,powerbank 10000mah,0,0,-5,elektronik
PROD-0267,baju bayi,48000,0,pakaian,2025-05-18 12:00:00
PROD-1344,powerbank 10000mah,120000,0,elektronik,2025-04-29 15:00:00
PROD-0226,komik jepang lama,45,0,buku,2025-08-31 00:00:00
PROD-1070,buku pemrograman python,120,12,buku,Mar 08
PROD-1303,powerbank 10000mah,0,0,kosong,elektronik murah
PROD-1619,mouse wireless,0,0,elektronik,2025-05-18 12:00:00
PROD-1386,hp android murah,45000,0,elektronik,Sep 30
PROD-0268,powerbank 10000mah,48000,73,elektronik,2025-05-18 12:00:00
PROD-1345,mouse wireless,120,0,elektronik,2025-05-18 12:00:00
PROD-0227,kamus bahasa inggris,45000,22,buku,Jan 03
PROD-1071,baju anak perempuan,120000,0,pakaian,2025-10-31 00:00:00
PROD-1304,kaos polos combed,128000,12,pakaian,2025-07-27 00:00:00
PROD-1030,kaos polos combed,0,0,pakaian,2025-05-18 12:00:00
PROD-1387,baju bayi,128000,0,pakaian,2025-10-18 21:00:00
PROD-0269,powerbank 10000mah,0,0,12,ELEKTRONIK
PROD-1346,komik jepang lama,120000,0,buku,2025-11-19 00:00:00
PROD-0228,komik jepang lama,15000,0,buku,Dec 26
PROD-1072,baju anak laki-laki,0,12,pakaian,2025-05-18 12:00:00
PROD-1305,baju anak laki-laki,0,0,pakaian,Jan 22
PROD-1031,novel fiksi terjemahan,15000,12,buku,2025-09-04 00:00:00
PROD-1388,baju bayi,120000,0,pakaian,2025-05-18 12:00:00
PROD-1347,novel fiksi terjemahan,120,0,buku,2025-03-17 1:00:00
PROD-0229,charger type-c fast,0,0,elektronik,2025-10-02 00:00:00
PROD-1073,buku mewarnai anak,0,12,buku,2025-05-12 3:00:00
PROD-1306,novel fiksi terjemahan,16000,12,buku,2025-09-08 23:00:00
PROD-1032,powerbank 10000mah,15000,0,elektronik,2025-07-17 7:00:00
PROD-1389,kemeja flanel keren,0,0,null,clothes
PROD-1348,charger type-c fast,15000,0,elektronik,Feb 05
PROD-1074,laptop gaming i7,0,0,elektronik,2025-08-18 17:00:00
PROD-1307,laptop gaming i7,120000,0,elektronik,Jan 24
PROD-1033,baju bayi,48000,0,pakaian,2025-08-17 00:00:00
PROD-1349,kemeja flanel keren,0,0,88,clothes
PROD-1075,buku mewarnai anak,15000,20,buku,2025-06-05 00:00:00
PROD-1308,baju anak perempuan,0,0,pakaian,2025-02-12 7:00:00
PROD-1034,hp android murah,0,0,12,elektronik murah
PROD-1076,komik jepang lama,45000,13,buku,2025-05-18 12:00:00
PROD-1309,powerbank 10000mah,15000,0,elektronik,2025-05-22 13:00:00
PROD-1035,baju anak laki-laki,0,0,pakaian,2025-04-28 2:00:00
PROD-1077,mouse wireless,128000,12,elektronik,2025-08-29 00:00:00
PROD-1036,mouse wireless,48000,0,elektronik,Mar 08
PROD-1078,kaos polos combed,0,0,pakaian,2026-01-30 00:00:00
PROD-1037,komik jepang lama,15,12,buku,Oct 23
PROD-1079,buku mewarnai anak,0,0,kosong,BUKU
PROD-1038,baju anak perempuan,45000,13,pakaian,Aug 04
PROD-1039,laptop gaming i7,120000,0,elektronik,2025-06-10 20:00:00
PROD-0960,hp android murah,45000,0,elektronik,2025-05-18 12:00:00
PROD-0920,powerbank 10000mah,16000,12,elektronik,2025-05-18 12:00:00
PROD-0961,baju anak laki-laki,0,0,pakaian,2025-05-18 12:00:00
PROD-0921,hp android murah,0,90,elektronik,2025-05-18 12:00:00
PROD-0962,powerbank 10000mah,45000,68,elektronik,2026-03-24 6:00:00
PROD-0922,charger type-c fast,120000,0,elektronik,2025-05-18 12:00:00
PROD-0963,powerbank 10000mah,0,0,74,elektronik murah
PROD-0690,buku mewarnai anak,16000,0,buku,2025-11-23 18:00:00
PROD-0923,laptop gaming i7,15000,0,elektronik,2025-11-19 00:00:00
PROD-0964,kaos polos combed,0,0,12,pakaian
PROD-0691,buku mewarnai anak,128000,0,buku,2025-05-18 12:00:00
PROD-0924,laptop gaming i7,0,0,82,elektronik murah
PROD-0650,buku mewarnai anak,45,50,buku,2025-05-18 12:00:00
PROD-0965,kaos polos combed,0,0,pakaian,2025-05-18 12:00:00
PROD-0925,buku mewarnai anak,128000,12,buku,2025-05-18 12:00:00
PROD-0651,baju bayi,128000,75,pakaian,Apr 02
PROD-0610,buku pemrograman python,0,0,12,BUKU
PROD-0966,baju anak laki-laki,48000,0,pakaian,2025-05-18 12:00:00
PROD-0692,buku mewarnai anak,0,0,12,buku
PROD-1770,baju bayi,0,95,pakaian,2025-02-10 00:00:00
PROD-0652,hp android murah,45000,0,elektronik,2025-01-04 0:00:00
PROD-0611,kamus bahasa inggris,0,37,buku,Feb 09
PROD-0967,komik jepang lama,45000,1,buku,May 10
PROD-0693,novel fiksi terjemahan,45000,12,buku,Mar 23
PROD-0926,komik jepang lama,0,0,buku,2026-02-05 15:00:00
PROD-1771,buku pemrograman python,45000,0,buku,2025-01-31 00:00:00
PROD-1730,baju bayi,120000,0,pakaian,2025-10-17 00:00:00
PROD-0653,baju anak perempuan,16000,0,pakaian,2025-05-18 12:00:00
PROD-0612,kemeja flanel keren,0,0,pakaian,Sep 14
PROD-0968,kamus bahasa inggris,45,99,buku,Mar 05
PROD-0694,powerbank 10000mah,15000,42,elektronik,Nov 11
PROD-0927,buku pemrograman python,120000,12,buku,2025-05-18 12:00:00
PROD-1772,kaos polos combed,15000,0,pakaian,2025-05-18 12:00:00
PROD-1731,kemeja flanel keren,0,12,pakaian,2025-05-24 13:00:00
PROD-0654,novel fiksi terjemahan,45,23,buku,2025-11-09 00:00:00
PROD-0380,baju bayi,0,0,pakaian,Nov 02
PROD-0613,mouse wireless,0,0,67,ELEKTRONIK
PROD-0969,baju anak laki-laki,45,37,pakaian,2025-05-18 12:00:00
PROD-0695,kaos polos combed,0,0,98,pakaian
PROD-0928,hp android murah,0,12,elektronik,2025-12-07 6:00:00
PROD-1773,buku pemrograman python,45,12,buku,May 28
PROD-1732,komik jepang lama,0,0,kosong,BUKU
PROD-0655,novel fiksi terjemahan,15,12,buku,2025-06-13 00:00:00
PROD-0381,mouse wireless,15000,0,elektronik,Aug 12
PROD-0614,baju anak perempuan,0,0,72,pakian
PROD-0340,baju anak perempuan,120000,12,pakaian,2026-03-14 7:00:00
PROD-0696,buku pemrograman python,0,0,96,buku bacaan
PROD-0929,kamus bahasa inggris,16000,0,buku,2025-05-18 12:00:00
PROD-1774,kamus bahasa inggris,16000,0,buku,2025-12-05 00:00:00
PROD-1733,baju anak perempuan,0,0,pakaian,Oct 27
PROD-0656,kamus bahasa inggris,16000,0,buku,Mar 01
PROD-0382,buku pemrograman python,0,0,-5,BUKU
PROD-0615,buku pemrograman python,0,0,buku,Nov 07
PROD-0341,baju bayi,48000,0,pakaian,Jul 01
PROD-0300,charger type-c fast,0,0,elektronik,2025-08-04 11:00:00
PROD-0697,mouse wireless,0,0,-5,elektronik murah
PROD-1775,baju bayi,120,0,pakaian,2025-05-18 12:00:00
PROD-1734,buku pemrograman python,120000,95,buku,2025-09-22 00:00:00
PROD-1460,kemeja flanel keren,128000,12,pakaian,Feb 27
PROD-0657,buku mewarnai anak,0,0,buku,2025-05-18 12:00:00
PROD-0383,buku mewarnai anak,0,0,null,buku
PROD-0616,baju bayi,15000,0,pakaian,2025-05-10 8:00:00
PROD-0342,novel fiksi terjemahan,16000,4,buku,2025-01-11 8:00:00
PROD-0301,baju bayi,15,0,pakaian,2025-05-18 12:00:00
PROD-0698,mouse wireless,16000,37,elektronik,2025-06-17 00:00:00
PROD-1776,charger type-c fast,0,12,elektronik,2025-05-18 12:00:00
PROD-1735,baju anak laki-laki,120000,0,pakaian,2025-05-18 12:00:00
PROD-1461,komik jepang lama,15,0,buku,2025-10-22 16:00:00
PROD-1420,buku pemrograman python,0,0,kosong,buku
PROD-0658,kemeja flanel keren,120000,0,pakaian,2025-05-18 12:00:00
PROD-0384,laptop gaming i7,0,37,elektronik,2025-07-25 00:00:00
PROD-0617,kamus bahasa inggris,16000,11,buku,Mar 31
PROD-0343,kamus bahasa inggris,128000,12,buku,2025-05-18 12:00:00
PROD-0302,baju anak perempuan,128000,0,pakaian,Feb 14
PROD-0699,kamus bahasa inggris,15000,0,buku,2026-02-22 00:00:00
PROD-1777,baju anak perempuan,0,12,pakaian,Jul 14
PROD-1736,novel fiksi terjemahan,45000,0,buku,2025-03-11 12:00:00
PROD-1462,baju anak perempuan,16000,12,pakaian,2025-04-03 1:00:00
PROD-1421,komik jepang lama,45000,12,buku,2025-07-21 00:00:00
PROD-0659,novel fiksi terjemahan,0,0,12,buku bacaan
PROD-0385,mouse wireless,48000,0,elektronik,2025-05-07 12:00:00
PROD-0618,baju anak laki-laki,45000,0,pakaian,2025-05-18 12:00:00
PROD-0344,kamus bahasa inggris,45000,0,buku,2025-10-20 20:00:00
PROD-0070,mouse wireless,15000,12,elektronik,2025-12-06 00:00:00
PROD-0303,powerbank 10000mah,0,0,elektronik,2025-05-18 12:00:00
PROD-1778,komik jepang lama,120,12,buku,2025-05-18 12:00:00
PROD-1737,powerbank 10000mah,0,0,-5,elektronik murah
PROD-1463,baju anak laki-laki,45000,12,pakaian,2025-05-18 12:00:00
PROD-1422,laptop gaming i7,0,12,elektronik,Dec 06
PROD-0386,kaos polos combed,45000,54,pakaian,Jul 10
PROD-0619,novel fiksi terjemahan,15,12,buku,2026-02-07 00:00:00
PROD-0345,charger type-c fast,120000,81,elektronik,2025-08-10 00:00:00
PROD-0071,buku mewarnai anak,0,0,12,buku bacaan
PROD-0304,baju bayi,15000,12,pakaian,2025-09-28 00:00:00
PROD-0030,buku pemrograman python,45000,0,buku,2025-05-18 12:00:00
PROD-1779,kaos polos combed,15000,0,pakaian,2025-05-18 12:00:00
PROD-1738,buku pemrograman python,16000,0,buku,Jan 30
PROD-1464,buku pemrograman python,45000,0,buku,2025-05-18 12:00:00
PROD-1423,baju bayi,48000,0,pakaian,2025-08-11 00:00:00
PROD-0387,hp android murah,0,0,4,elektronik murah
PROD-0346,komik jepang lama,48000,12,buku,2026-03-26 12:00:00
PROD-1190,baju anak laki-laki,120,0,pakaian,2025-02-13 00:00:00
PROD-0072,powerbank 10000mah,0,0,elektronik,Feb 21
PROD-0305,novel fiksi terjemahan,128000,0,buku,2025-09-30 00:00:00
PROD-0031,baju bayi,0,0,pakaian,Sep 14
PROD-1739,novel fiksi terjemahan,15000,12,buku,Oct 22
PROD-1465,laptop gaming i7,0,0,kosong,ELEKTRONIK
PROD-1424,kemeja flanel keren,0,0,pakaian,2025-07-17 00:00:00
PROD-0388,powerbank 10000mah,0,0,elektronik,2025-05-18 12:00:00
PROD-0347,novel fiksi terjemahan,120,0,buku,2025-11-12 0:00:00
PROD-1191,baju anak perempuan,45000,0,pakaian,2025-07-20 22:00:00
PROD-0073,baju bayi,0,0,12,clothes
PROD-0306,baju anak perempuan,45000,12,pakaian,2025-05-18 12:00:00
PROD-1150,baju bayi,0,0,-5,clothes
PROD-0032,mouse wireless,120,0,elektronik,Sep 28
PROD-1466,charger type-c fast,0,0,kosong,ELEKTRONIK
PROD-1425,kemeja flanel keren,120,0,pakaian,2026-01-04 13:00:00
PROD-0389,baju bayi,120000,12,pakaian,2025-06-18 00:00:00
PROD-0348,komik jepang lama,0,0,buku,Aug 31
PROD-1192,charger type-c fast,0,0,elektronik,2025-07-12 23:00:00
PROD-0074,hp android murah,120000,0,elektronik,2025-04-18 14:00:00
PROD-0307,kemeja flanel keren,45000,37,pakaian,Apr 13
PROD-1151,kaos polos combed,45000,12,pakaian,2025-05-18 12:00:00
PROD-0033,komik jepang lama,0,0,buku,Jan 30
PROD-1110,laptop gaming i7,45000,0,elektronik,2025-07-14 18:00:00
PROD-1467,mouse wireless,16000,100,elektronik,2025-01-18 00:00:00
PROD-1426,baju anak laki-laki,16000,47,pakaian,2025-05-18 12:00:00
