kode_produk,nama_produk,harga,stok,kategori,last_updated
PROD-0026,POWERBANK 10000mah,null,12,ELEKTRONIK,15/09/2025
PROD-0027,mouse WIRELESS,$1.00,-5,elektronik murah,"May 28, 2025"
PROD-0028,BAJU  ANAK PEREMPUAN,15000,null,pakaian,11/01/2025
PROD-0029,POWERBANK 10000mah,120rb,-5,ELEKTRONIK,"Aug 26, 2025"
PROD-0030,buku pemrograman python,45rb,kosong,buku,1735830000
PROD-0031,BaJu Bayi,Rp 45.000,kosong,pakian,"Sep 14, 2025"
PROD-0032,mouse WIRELESS,120,kosong,ELEKTRONIK,"Sep 28, 2025"
PROD-0033,kaos polos combed,$3.00,-5,PAKAIAN,2025-01-07 18:00:00
PROD-0034,komik jepang lama,$3.00,kosong,buku bacaan,2026-01-13 11:00:00
PROD-0035,BaJu Bayi,Rp 45.000,kosong,PAKAIAN,2025-03-24 23:00:00
PROD-0036,Buku Mewarnai anak,120rb,12,BUKU,2025-10-17 15:00:00
PROD-0037,komik jepang lama,15000,12,buku,"Jan 28, 2026"
PROD-0038,POWERBANK 10000mah,45rb,-5,elektronik,1746547200
PROD-0039,buku pemrograman python,15000,13,BUKU,1762686000
PROD-0040,POWERBANK 10000mah,Rp 45.000,12,elektronik murah,"Aug 22, 2025"
PROD-0041,komik jepang lama,15000,12,buku bacaan,2025-12-06 7:00:00
PROD-0042,KEMEJA FLANEL Keren,Rp 120.000,kosong,pakian,2025-02-04 14:00:00
PROD-0043,LAPTOP gaming i7,$8.00,-5,elektronik,"May 19, 2025"
PROD-0044,LAPTOP gaming i7,$3.00,kosong,elektronik murah,02/03/2026
PROD-0045,baju anak laki-laki,45,18,pakaian,24/08/2025
PROD-0046,buku pemrograman python,120rb,12,buku bacaan,29/08/2025
PROD-0047,Buku Mewarnai anak,120,-5,BUKU,"May 27, 2025"
PROD-0048,NOVEL FIKSI TERJEMAHAN,15,85,buku bacaan,2026-01-20 6:00:00
PROD-0049,KEMEJA FLANEL Keren,"Rp15000,-",kosong,pakaian,"Sep 25, 2025"
PROD-0050,BaJu Bayi,$3.00,77,pakian,"Jan 05, 2026"
PROD-0051,BaJu Bayi,45rb,-5,PAKAIAN,19/01/2026
PROD-0052,POWERBANK 10000mah,"Rp15000,-",19,ELEKTRONIK,2025-01-24 1:00:00
PROD-0053,LAPTOP gaming i7,"Rp120000,-",12,elektronik murah,2025-11-23 0:00:00
PROD-0054,NOVEL FIKSI TERJEMAHAN,Rp 120.000,kosong,buku,12/01/2026
PROD-0055,BAJU  ANAK PEREMPUAN,15rb,null,pakaian,"Nov 22, 2025"
PROD-0056,KEMEJA FLANEL Keren,$3.00,44,pakaian,"Nov 21, 2025"
PROD-0057,buku pemrograman python,$1.00,12,buku,2025-03-08 4:00:00
PROD-0058,baju anak laki-laki,45rb,kosong,pakian,"Jul 01, 2025"
PROD-0059,charger Type-C fast,15,12,ELEKTRONIK,30/09/2025
PROD-0060,NOVEL FIKSI TERJEMAHAN,15000,-5,buku bacaan,04/12/2025
PROD-0061,BAJU  ANAK PEREMPUAN,,12,PAKAIAN,"Jan 13, 2026"
PROD-0062,LAPTOP gaming i7,null,-5,elektronik murah,22/12/2025
PROD-0063,charger Type-C fast,45000,null,ELEKTRONIK,03/07/2025
PROD-0064,KAMUS BAHASA INGGRIS,120,12,buku bacaan,1746298800
PROD-0065,Buku Mewarnai anak,Rp 45.000,kosong,BUKU,2025-12-24 6:00:00
PROD-0066,hP android murah,$3.00,-5,elektronik murah,02/06/2025
PROD-0067,NOVEL FIKSI TERJEMAHAN,45rb,-5,BUKU,"Jan 02, 2026"
PROD-0068,hP android murah,,12,elektronik,2025-01-12 2:00:00
PROD-0069,buku pemrograman python,15,kosong,buku,2025-06-27 12:00:00
PROD-0070,mouse WIRELESS,15000,12,elektronik,06/12/2025
PROD-0071,Buku Mewarnai anak,"Rp45000,-",12,buku bacaan,2025-12-28 8:00:00
PROD-0072,POWERBANK 10000mah,null,kosong,elektronik murah,"Feb 21, 2025"
PROD-0073,BaJu Bayi,"Rp120000,-",12,clothes,01/03/2026
PROD-0074,hP android murah,120rb,-5,elektronik murah,2025-04-18 14:00:00
PROD-0075,buku pemrograman python,"Rp45000,-",kosong,buku,2025-08-15 9:00:00
PROD-0076,KEMEJA FLANEL Keren,120000,null,PAKAIAN,1764482400
PROD-0077,LAPTOP gaming i7,15rb,kosong,elektronik,1743541200
PROD-0078,LAPTOP gaming i7,$3.00,-5,elektronik,2026-02-01 10:00:00
PROD-0079,komik jepang lama,120000,12,BUKU,"Feb 17, 2026"
PROD-0080,hP android murah,$8.00,12,ELEKTRONIK,2025-04-20 7:00:00
PROD-0081,LAPTOP gaming i7,,12,elektronik murah,1740229200
PROD-0082,KAMUS BAHASA INGGRIS,15,null,buku,"Aug 20, 2025"
PROD-0083,NOVEL FIKSI TERJEMAHAN,Rp 15.000,null,BUKU,2025-03-26 23:00:00
PROD-0084,BaJu Bayi,15rb,66,pakian,05/12/2025
PROD-0085,baju anak laki-laki,"Rp120000,-",12,pakaian,"Jan 12, 2025"
PROD-0086,Buku Mewarnai anak,$1.00,-5,buku,"Sep 20, 2025"
PROD-0087,komik jepang lama,"Rp45000,-",kosong,BUKU,08/06/2025
PROD-0088,kaos polos combed,45000,12,pakian,2025-10-03 12:00:00
PROD-0089,KAMUS BAHASA INGGRIS,120000,null,BUKU,2025-04-16 20:00:00
PROD-0090,mouse WIRELESS,15000,12,elektronik,"Dec 06, 2025"
PROD-0091,Buku Mewarnai anak,$3.00,12,buku,1740160800
PROD-0092,charger Type-C fast,"Rp45000,-",12,elektronik murah,05/10/2025
PROD-0093,mouse WIRELESS,$8.00,kosong,ELEKTRONIK,10/06/2025
PROD-0094,baju anak laki-laki,$1.00,12,PAKAIAN,12/03/2026
PROD-0095,BaJu Bayi,,12,pakaian,"Feb 15, 2025"
PROD-0096,LAPTOP gaming i7,"Rp45000,-",12,ELEKTRONIK,18/02/2026
PROD-0097,POWERBANK 10000mah,15000,-5,ELEKTRONIK,"Aug 24, 2025"
PROD-0098,KEMEJA FLANEL Keren,Rp 45.000,kosong,clothes,05/04/2025
PROD-0099,LAPTOP gaming i7,"Rp15000,-",null,ELEKTRONIK,2026-01-01 20:00:00
PROD-0100,NOVEL FIKSI TERJEMAHAN,120rb,-5,buku,2025-09-11 22:00:00
PROD-0101,BAJU  ANAK PEREMPUAN,$3.00,-5,pakaian,13/11/2025
PROD-0102,baju anak laki-laki,Rp 120.000,null,pakian,03/03/2025
PROD-0103,BAJU  ANAK PEREMPUAN,45000,kosong,clothes,"Sep 10, 2025"
PROD-0104,KAMUS BAHASA INGGRIS,$8.00,12,buku,2025-09-11 7:00:00
PROD-0105,KAMUS BAHASA INGGRIS,Rp 45.000,-5,BUKU,2026-01-07 5:00:00
PROD-0106,BAJU  ANAK PEREMPUAN,"Rp15000,-",22,pakian,"Jan 19, 2025"
PROD-0107,LAPTOP gaming i7,Rp 15.000,-5,elektronik murah,"Mar 02, 2026"
PROD-0108,BAJU  ANAK PEREMPUAN,120rb,-5,PAKAIAN,13/12/2025
PROD-0109,buku pemrograman python,,-5,BUKU,1750741200
PROD-0110,BAJU  ANAK PEREMPUAN,$1.00,-5,PAKAIAN,2026-01-07 16:00:00
PROD-0111,POWERBANK 10000mah,null,null,elektronik,2025-10-19 19:00:00
PROD-0112,hP android murah,Rp 45.000,kosong,ELEKTRONIK,"Aug 10, 2025"
PROD-0113,komik jepang lama,null,12,buku bacaan,"Sep 18, 2025"
PROD-0114,buku pemrograman python,15rb,52,BUKU,2025-10-31 20:00:00
PROD-0115,hP android murah,$3.00,-5,ELEKTRONIK,1765836000
PROD-0116,kaos polos combed,"Rp45000,-",-5,clothes,2025-08-29 8:00:00
PROD-0117,BaJu Bayi,"Rp45000,-",-5,clothes,1746054000
PROD-0118,komik jepang lama,Rp 15.000,kosong,buku bacaan,27/07/2025
PROD-0119,Buku Mewarnai anak,"Rp45000,-",kosong,buku,24/03/2026
PROD-0120,buku pemrograman python,45rb,87,buku bacaan,"Nov 14, 2025"
PROD-0121,Buku Mewarnai anak,45000,12,BUKU,22/09/2025
PROD-0122,KEMEJA FLANEL Keren,Rp 45.000,null,clothes,"Mar 06, 2025"
PROD-0123,BAJU  ANAK PEREMPUAN,Rp 15.000,-5,clothes,31/12/2025
PROD-0124,LAPTOP gaming i7,Rp 45.000,null,elektronik,2025-06-03 17:00:00
PROD-0125,komik jepang lama,Rp 45.000,12,BUKU,"Feb 14, 2025"
PROD-0126,NOVEL FIKSI TERJEMAHAN,15rb,12,buku,16/01/2025
PROD-0127,charger Type-C fast,null,12,ELEKTRONIK,1765270800
PROD-0128,NOVEL FIKSI TERJEMAHAN,"Rp45000,-",null,BUKU,2025-07-30 16:00:00
PROD-0129,KAMUS BAHASA INGGRIS,15rb,12,buku,24/05/2025
PROD-0130,buku pemrograman python,"Rp15000,-",12,buku,21/04/2025
PROD-0131,LAPTOP gaming i7,15rb,12,elektronik murah,2025-09-23 21:00:00
PROD-0132,baju anak laki-laki,$3.00,29,PAKAIAN,2026-01-30 17:00:00
PROD-0133,POWERBANK 10000mah,120,null,elektronik murah,"Sep 02, 2025"
PROD-0134,POWERBANK 10000mah,120,-5,elektronik,1747206000
PROD-0135,kaos polos combed,"Rp45000,-",12,clothes,"Oct 22, 2025"
PROD-0136,KAMUS BAHASA INGGRIS,Rp 15.000,kosong,BUKU,12/08/2025
PROD-0137,NOVEL FIKSI TERJEMAHAN,$8.00,kosong,buku bacaan,2025-09-03 16:00:00
PROD-0138,kaos polos combed,15,kosong,pakaian,26/01/2025
PROD-0139,hP android murah,$1.00,kosong,elektronik murah,03/03/2025
PROD-0140,baju anak laki-laki,Rp 45.000,null,clothes,29/03/2025
PROD-0141,KEMEJA FLANEL Keren,Rp 15.000,-5,pakian,14/08/2025
PROD-0142,NOVEL FIKSI TERJEMAHAN,45,kosong,buku,14/09/2025
PROD-0143,mouse WIRELESS,15000,99,elektronik,"Jan 30, 2026"
PROD-0144,Buku Mewarnai anak,Rp 120.000,3,BUKU,18/08/2025
PROD-0145,Buku Mewarnai anak,15000,-5,buku,02/01/2026
PROD-0146,Buku Mewarnai anak,45,41,BUKU,1764558000
PROD-0147,LAPTOP gaming i7,"Rp120000,-",12,ELEKTRONIK,23/10/2025
PROD-0148,POWERBANK 10000mah,45000,null,elektronik murah,2025-11-01 17:00:00
PROD-0149,KAMUS BAHASA INGGRIS,120000,kosong,BUKU,1761184800
PROD-0150,NOVEL FIKSI TERJEMAHAN,15,kosong,BUKU,26/08/2025
PROD-0151,mouse WIRELESS,,12,elektronik murah,1773356400
PROD-0152,POWERBANK 10000mah,45rb,null,elektronik murah,"Apr 21, 2025"
PROD-0153,NOVEL FIKSI TERJEMAHAN,15000,kosong,BUKU,"Mar 30, 2025"
PROD-0154,POWERBANK 10000mah,45,38,elektronik murah,2025-10-30 9:00:00
PROD-0155,mouse WIRELESS,Rp 120.000,12,elektronik,2025-02-15 17:00:00
PROD-0156,KAMUS BAHASA INGGRIS,Rp 15.000,100,buku bacaan,04/05/2025
PROD-0157,BaJu Bayi,"Rp15000,-",kosong,pakaian,14/07/2025
PROD-0158,hP android murah,Rp 15.000,kosong,ELEKTRONIK,"Sep 10, 2025"
PROD-0159,NOVEL FIKSI TERJEMAHAN,,kosong,buku,"Jan 28, 2025"
PROD-0160,KAMUS BAHASA INGGRIS,15000,12,buku bacaan,2025-10-07 9:00:00
PROD-0161,mouse WIRELESS,15000,-5,elektronik murah,1757476800
PROD-0162,buku pemrograman python,"Rp15000,-",35,buku bacaan,1765789200
PROD-0163,baju anak laki-laki,Rp 120.000,-5,clothes,25/01/2026
PROD-0164,KEMEJA FLANEL Keren,$8.00,12,PAKAIAN,"Aug 26, 2025"
PROD-0165,KAMUS BAHASA INGGRIS,null,null,buku bacaan,2025-04-07 10:00:00
PROD-0166,hP android murah,Rp 15.000,-5,elektronik murah,12/04/2025
PROD-0167,mouse WIRELESS,120rb,null,elektronik,2025-02-25 1:00:00
PROD-0168,hP android murah,Rp 15.000,-5,elektronik murah,2025-02-11 21:00:00
PROD-0169,mouse WIRELESS,120000,kosong,ELEKTRONIK,16/10/2025
PROD-0170,BaJu Bayi,120,74,pakian,2025-09-24 3:00:00
PROD-0171,hP android murah,120,kosong,elektronik,2025-02-19 16:00:00
PROD-0172,komik jepang lama,$8.00,79,buku bacaan,"May 17, 2025"
PROD-0173,komik jepang lama,null,null,BUKU,"Apr 12, 2025"
PROD-0174,KEMEJA FLANEL Keren,45,null,pakian,13/01/2026
PROD-0175,Buku Mewarnai anak,15,-5,buku bacaan,1749841200
PROD-0176,KEMEJA FLANEL Keren,"Rp120000,-",-5,clothes,25/03/2026
PROD-0177,BaJu Bayi,Rp 15.000,kosong,pakian,13/09/2025
PROD-0178,buku pemrograman python,Rp 45.000,12,buku,"Jan 28, 2025"
PROD-0179,Buku Mewarnai anak,$8.00,kosong,buku,2025-02-10 13:00:00
PROD-0180,kaos polos combed,45,12,PAKAIAN,1760774400
PROD-0181,hP android murah,45,-5,elektronik,"Sep 08, 2025"
PROD-0182,komik jepang lama,45rb,null,buku,2025-04-07 12:00:00
PROD-0183,charger Type-C fast,"Rp120000,-",kosong,ELEKTRONIK,"May 07, 2025"
PROD-0184,LAPTOP gaming i7,$8.00,kosong,elektronik,"Feb 13, 2025"
PROD-0185,LAPTOP gaming i7,"Rp45000,-",null,elektronik,2025-09-15 6:00:00
PROD-0186,buku pemrograman python,Rp 45.000,null,BUKU,"Jul 27, 2025"
PROD-0187,NOVEL FIKSI TERJEMAHAN,15rb,null,BUKU,1755741600
PROD-0188,baju anak laki-laki,45000,49,pakian,1769925600
PROD-0189,NOVEL FIKSI TERJEMAHAN,,null,buku bacaan,05/04/2025
PROD-0190,LAPTOP gaming i7,Rp 15.000,16,elektronik,1757656800
PROD-0191,charger Type-C fast,15000,null,elektronik murah,"Oct 01, 2025"
PROD-0192,baju anak laki-laki,Rp 15.000,null,pakian,"Mar 11, 2026"
PROD-0193,baju anak laki-laki,Rp 15.000,15,pakaian,2025-09-30 1:00:00
PROD-0194,NOVEL FIKSI TERJEMAHAN,120,-5,BUKU,1753549200
PROD-0195,Buku Mewarnai anak,Rp 120.000,kosong,buku bacaan,1767657600
PROD-0196,buku pemrograman python,120000,-5,buku bacaan,1752465600
PROD-0197,charger Type-C fast,15000,kosong,elektronik murah,"Feb 12, 2025"
PROD-0198,hP android murah,120rb,-5,ELEKTRONIK,1773255600
PROD-0199,LAPTOP gaming i7,45rb,null,elektronik,2026-01-22 12:00:00
PROD-0200,buku pemrograman python,null,null,buku bacaan,"Apr 10, 2025"
PROD-0201,POWERBANK 10000mah,15,12,ELEKTRONIK,1755079200
PROD-0202,hP android murah,Rp 15.000,29,elektronik murah,2025-09-23 18:00:00
PROD-0203,komik jepang lama,"Rp45000,-",kosong,buku bacaan,"Jan 27, 2025"
PROD-0204,komik jepang lama,120,kosong,BUKU,1737928800
PROD-0205,KAMUS BAHASA INGGRIS,$8.00,-5,BUKU,"Nov 27, 2025"
PROD-0206,KEMEJA FLANEL Keren,Rp 120.000,13,pakaian,2025-07-11 4:00:00
PROD-0207,NOVEL FIKSI TERJEMAHAN,$8.00,11,buku bacaan,1754553600
PROD-0208,charger Type-C fast,15000,null,elektronik murah,1765846800
PROD-0209,buku pemrograman python,,12,BUKU,19/08/2025
PROD-0210,KEMEJA FLANEL Keren,Rp 45.000,-5,pakaian,27/06/2025
PROD-0211,BaJu Bayi,120,-5,pakian,"Dec 08, 2025"
PROD-0212,kaos polos combed,120000,36,pakian,"May 04, 2025"
PROD-0213,buku pemrograman python,Rp 45.000,kosong,BUKU,24/01/2025
PROD-0214,komik jepang lama,15000,12,BUKU,09/02/2025
PROD-0215,kaos polos combed,,-5,PAKAIAN,1761213600
PROD-0216,baju anak laki-laki,15000,kosong,pakaian,1755414000
PROD-0217,hP android murah,Rp 45.000,23,ELEKTRONIK,19/10/2025
PROD-0218,POWERBANK 10000mah,null,12,elektronik,"Nov 27, 2025"
PROD-0219,BAJU  ANAK PEREMPUAN,15,null,PAKAIAN,1744689600
PROD-0220,kaos polos combed,$1.00,null,pakian,1744837200
PROD-0221,POWERBANK 10000mah,Rp 45.000,null,elektronik murah,2025-06-01 11:00:00
PROD-0222,baju anak laki-laki,$3.00,null,pakaian,"Jun 08, 2025"
PROD-0223,kaos polos combed,"Rp45000,-",kosong,pakaian,"Jun 04, 2025"
PROD-0224,BaJu Bayi,45,23,clothes,1749866400
PROD-0225,KAMUS BAHASA INGGRIS,$8.00,-5,buku bacaan,17/02/2025
PROD-0226,komik jepang lama,45,null,BUKU,31/08/2025
PROD-0227,baju anak laki-laki,"Rp120000,-",12,pakaian,1736589600
PROD-0228,komik jepang lama,15rb,null,buku bacaan,"Dec 26, 2025"
PROD-0229,charger Type-C fast,Rp 120.000,kosong,elektronik,02/10/2025
PROD-0230,mouse WIRELESS,null,kosong,elektronik murah,10/04/2025
PROD-0231,buku pemrograman python,45000,-5,buku,2025-11-11 2:00:00
PROD-0232,buku pemrograman python,120,12,buku,2025-12-20 5:00:00
PROD-0233,BAJU  ANAK PEREMPUAN,null,12,pakian,1770944400
PROD-0234,charger Type-C fast,Rp 45.000,null,ELEKTRONIK,2025-12-18 17:00:00
PROD-0235,BaJu Bayi,15,26,clothes,1743444000
PROD-0236,hP android murah,45,-5,ELEKTRONIK,19/01/2025
PROD-0237,NOVEL FIKSI TERJEMAHAN,,-5,buku bacaan,2026-02-13 0:00:00
PROD-0238,KAMUS BAHASA INGGRIS,15000,kosong,buku,1764950400
PROD-0239,LAPTOP gaming i7,Rp 15.000,null,elektronik,16/03/2025
PROD-0240,baju anak laki-laki,120rb,null,PAKAIAN,2025-12-23 9:00:00
PROD-0241,BAJU  ANAK PEREMPUAN,120rb,12,pakaian,1754935200
PROD-0242,hP android murah,120,-5,elektronik,2025-06-19 22:00:00
PROD-0243,BaJu Bayi,15rb,kosong,PAKAIAN,1772442000
PROD-0244,KEMEJA FLANEL Keren,Rp 15.000,null,pakian,"Jan 23, 2025"
PROD-0245,hP android murah,Rp 120.000,-5,ELEKTRONIK,1760947200
PROD-0246,mouse WIRELESS,15,71,elektronik murah,07/10/2025
PROD-0247,baju anak laki-laki,"Rp15000,-",27,pakaian,1741791600
PROD-0248,LAPTOP gaming i7,"Rp15000,-",kosong,ELEKTRONIK,21/04/2025
PROD-0249,kaos polos combed,120rb,kosong,pakian,2025-12-09 17:00:00
PROD-0250,BAJU  ANAK PEREMPUAN,Rp 120.000,12,pakian,01/03/2025
PROD-0251,KEMEJA FLANEL Keren,Rp 45.000,kosong,pakian,22/09/2025
PROD-0252,buku pemrograman python,$1.00,null,buku bacaan,1740164400
PROD-0253,KEMEJA FLANEL Keren,15rb,-5,PAKAIAN,"Jul 19, 2025"
PROD-0254,baju anak laki-laki,Rp 15.000,57,pakaian,2025-07-12 21:00:00
PROD-0255,charger Type-C fast,"Rp120000,-",null,elektronik murah,2025-03-02 9:00:00
PROD-0256,komik jepang lama,120000,-5,BUKU,1766358000
PROD-0257,BaJu Bayi,45rb,20,pakian,2025-12-02 5:00:00
PROD-0258,buku pemrograman python,15rb,45,buku,1738252800
PROD-0259,KEMEJA FLANEL Keren,120,null,clothes,19/12/2025
PROD-0260,charger Type-C fast,Rp 120.000,66,ELEKTRONIK,21/04/2025
PROD-0261,KAMUS BAHASA INGGRIS,$3.00,kosong,buku,1746853200
PROD-0262,buku pemrograman python,120000,70,buku,2025-06-19 17:00:00
PROD-0263,kaos polos combed,120000,12,pakaian,1758711600
PROD-0264,hP android murah,$8.00,null,ELEKTRONIK,1767391200
PROD-0265,hP android murah,$1.00,12,elektronik murah,27/06/2025
PROD-0266,KAMUS BAHASA INGGRIS,15000,kosong,BUKU,1744200000
PROD-0267,komik jepang lama,15,67,buku,"Sep 15, 2025"
PROD-0268,POWERBANK 10000mah,$3.00,73,elektronik murah,1748034000
PROD-0269,POWERBANK 10000mah,"Rp120000,-",12,ELEKTRONIK,"Sep 05, 2025"
PROD-0270,NOVEL FIKSI TERJEMAHAN,Rp 45.000,12,buku bacaan,2025-05-29 9:00:00
PROD-0271,hP android murah,45,null,elektronik,2026-01-25 1:00:00
PROD-0272,baju anak laki-laki,120,81,clothes,"Oct 15, 2025"
PROD-0273,KEMEJA FLANEL Keren,45rb,kosong,PAKAIAN,2025-06-12 22:00:00
PROD-0274,mouse WIRELESS,"Rp120000,-",null,ELEKTRONIK,"Feb 02, 2026"
PROD-0275,buku pemrograman python,Rp 15.000,96,BUKU,15/07/2025
PROD-0276,komik jepang lama,120,42,buku bacaan,1754697600
PROD-0277,baju anak laki-laki,45,77,pakian,"Dec 19, 2025"
PROD-0278,buku pemrograman python,Rp 120.000,null,BUKU,1761015600
PROD-0279,kaos polos combed,15000,null,PAKAIAN,2025-05-24 17:00:00
PROD-0280,KAMUS BAHASA INGGRIS,120rb,kosong,BUKU,"May 24, 2025"
PROD-0281,KAMUS BAHASA INGGRIS,45000,12,buku bacaan,2026-01-10 8:00:00
PROD-0282,baju anak laki-laki,Rp 15.000,kosong,pakaian,1766541600
PROD-0283,NOVEL FIKSI TERJEMAHAN,15,12,BUKU,2025-07-01 12:00:00
PROD-0284,kaos polos combed,$1.00,null,PAKAIAN,15/01/2026
PROD-0285,KEMEJA FLANEL Keren,$1.00,68,pakian,12/02/2025
PROD-0286,kaos polos combed,$3.00,12,pakian,12/11/2025
PROD-0287,mouse WIRELESS,"Rp45000,-",12,ELEKTRONIK,"Feb 01, 2025"
PROD-0288,Buku Mewarnai anak,$3.00,84,buku bacaan,1748066400
PROD-0289,KEMEJA FLANEL Keren,"Rp15000,-",-5,clothes,2025-01-14 2:00:00
PROD-0290,Buku Mewarnai anak,$3.00,kosong,buku bacaan,2025-09-05 3:00:00
PROD-0291,mouse WIRELESS,120rb,-5,elektronik murah,27/04/2025
PROD-0292,LAPTOP gaming i7,"Rp15000,-",12,ELEKTRONIK,"May 08, 2025"
PROD-0293,hP android murah,$8.00,-5,elektronik,"Jun 10, 2025"
PROD-0294,KAMUS BAHASA INGGRIS,"Rp120000,-",null,buku,"Dec 24, 2025"
PROD-0295,KEMEJA FLANEL Keren,Rp 45.000,-5,PAKAIAN,"Mar 03, 2026"
PROD-0296,KAMUS BAHASA INGGRIS,45000,null,buku bacaan,2025-12-13 18:00:00
PROD-0297,kaos polos combed,120000,null,PAKAIAN,30/05/2025
PROD-0298,KAMUS BAHASA INGGRIS,"Rp15000,-",12,buku,05/05/2025
PROD-0299,BAJU  ANAK PEREMPUAN,Rp 120.000,-5,clothes,15/08/2025
PROD-0300,charger Type-C fast,,null,elektronik,2025-08-04 11:00:00
PROD-0301,BaJu Bayi,15,kosong,pakaian,1740031200
PROD-0302,BAJU  ANAK PEREMPUAN,$8.00,kosong,pakaian,"Feb 14, 2025"
PROD-0303,POWERBANK 10000mah,null,kosong,ELEKTRONIK,1751148000
PROD-0304,BaJu Bayi,15000,12,pakian,28/09/2025
PROD-0305,NOVEL FIKSI TERJEMAHAN,$8.00,-5,buku,30/09/2025
PROD-0306,BAJU  ANAK PEREMPUAN,45000,12,pakian,1735977600
PROD-0307,KEMEJA FLANEL Keren,45rb,37,PAKAIAN,"Apr 13, 2025"
PROD-0308,komik jepang lama,null,12,buku,"Sep 23, 2025"
PROD-0309,KAMUS BAHASA INGGRIS,"Rp15000,-",-5,BUKU,30/12/2025
PROD-0310,komik jepang lama,45rb,36,BUKU,"Feb 21, 2025"
PROD-0311,Buku Mewarnai anak,15rb,12,buku bacaan,2026-02-27 9:00:00
PROD-0312,LAPTOP gaming i7,,12,elektronik,"Aug 20, 2025"
PROD-0313,KAMUS BAHASA INGGRIS,120rb,-5,buku,"Dec 07, 2025"
PROD-0314,baju anak laki-laki,"Rp45000,-",44,PAKAIAN,"Jan 22, 2026"
PROD-0315,baju anak laki-laki,"Rp15000,-",-5,clothes,"May 24, 2025"
PROD-0316,charger Type-C fast,15,null,elektronik,"Feb 10, 2025"
PROD-0317,BAJU  ANAK PEREMPUAN,Rp 120.000,kosong,pakaian,2025-04-15 12:00:00
PROD-0318,hP android murah,120rb,-5,ELEKTRONIK,1742407200
PROD-0319,BAJU  ANAK PEREMPUAN,null,null,pakaian,2025-11-23 2:00:00
PROD-0320,NOVEL FIKSI TERJEMAHAN,,8,BUKU,"Feb 09, 2025"
PROD-0321,kaos polos combed,120,91,pakaian,"Jun 02, 2025"
PROD-0322,baju anak laki-laki,Rp 120.000,-5,pakian,26/09/2025
PROD-0323,NOVEL FIKSI TERJEMAHAN,null,12,buku bacaan,2025-05-20 0:00:00
PROD-0324,kaos polos combed,45,null,pakian,18/10/2025
PROD-0325,baju anak laki-laki,45000,kosong,pakaian,"May 09, 2025"
PROD-0326,Buku Mewarnai anak,15,-5,buku bacaan,1739242800
PROD-0327,kaos polos combed,120,82,clothes,2025-11-02 18:00:00
PROD-0328,POWERBANK 10000mah,45,12,ELEKTRONIK,2026-01-09 16:00:00
PROD-0329,LAPTOP gaming i7,15,-5,elektronik,08/11/2025
PROD-0330,hP android murah,"Rp15000,-",kosong,ELEKTRONIK,1746824400
PROD-0331,BaJu Bayi,$1.00,-5,pakaian,21/01/2026
PROD-0332,BaJu Bayi,45000,-5,PAKAIAN,2026-01-01 7:00:00
PROD-0333,mouse WIRELESS,Rp 15.000,12,elektronik murah,2025-02-26 0:00:00
PROD-0334,mouse WIRELESS,"Rp120000,-",-5,elektronik murah,2025-10-14 8:00:00
PROD-0335,komik jepang lama,120rb,-5,buku,2025-06-07 3:00:00
